神探萧雷锋#10#            跟英雄联盟完全没法比，城乡结合部风格。#2020-05-31 18:15
写小说的白泽#11#            王者荣耀怎么了？#2020-05-31 18:38
free123a987b#14#            我一个人就是一支军队守望先锋的士兵76的台词#2020-05-31 18:45
diegisgje#8# #2020-05-31 18:50
楚殇羽#13#            还不如以一当百 或者一以当千#2020-05-31 18:58
秦时明月告白#12#            一人成军#2020-05-31 19:31
妄邪-#12# #2020-05-31 19:51
冷云妃#13# 王者荣耀怎么了？你要是想提意见或嘲讽，去王者荣耀吧。#2020-05-31 21:54
雨中的你wal#10#            英雄联盟我最喜欢的话：说教无益，折断的骨头是最好的课本#2020-05-31 22:25
别说话咯#7#            确实#2020-05-31 22:52
与卿沉沦#13#            荣耀的主体受众是中小学生吧#2020-05-31 23:52
陈曦--#10#            王者的台词就把我尬出血#2020-05-31 23:54
弓-110#14#            我一个人就能撂翻一支军队#2020-05-31 23:55
辅爱如山#1#            还好吧  我觉得气势出来了#2020-06-01 00:38
未来的今天-#11#            咋说呢，杂烩风味吧#2020-06-01 00:58
工藤新乙己#1#            王者荣耀为了迎合小学生吧，文案真的尬得要命，英雄台词能和旺旺的广告词相抗衡了#2020-06-01 01:04
那张友人坐#4#            去王者荣耀吧啊，这里是国产动漫吧#2020-06-01 05:15
qinxiaosan#1#            不是一个人的王者 而是团队的荣耀别扭#2020-06-01 05:39
莫思宏哲#10#            因为针对的客户主体不一样#2020-06-01 06:08
鬼畜格力扎#1#            去抗吧和耀吧#2020-06-01 06:26
忘川湖#8#            ，#2020-06-01 06:36
忘川湖#8#            ，#2020-06-01 06:36
忘川湖#8#            ，#2020-06-01 06:36
忘川湖#8#            ，#2020-06-01 06:36
flliet#1#            半斤八两#2020-06-01 06:44
丶35418#3# 一骑当千更好，居然不用#2020-06-01 07:02
夏洛特-卡龅牙#1#            王者荣耀已经沦落到连跟个过气游戏都比不了了么？#2020-06-01 07:09
悦客伙器hh#6# 为什么王者一打到人就卡？？？#2020-06-01 10:34
nygmm#1#            火烧屁屁喽#2020-06-01 11:16
沧海落遗尘-#1# #2020-06-01 11:20
